-5.44325490e-01 2.75721773e-01 4.10354214e-01 -7.17241777e-01 -1.43402140e+00 -1.10035233e+00 -3.78493537e-01 -2.58857653e-01 6.39017930e-01 3.43421282e-02
8.00035594e-01 8.01540797e-01 -3.33947438e+00 -1.32819172e+00 2.21603478e+00 1.99744403e-01 7.48739534e-01 -1.58785572e+00 2.52585602e+00 8.96317181e-01
1.04821084e-02 -6.65531503e-01 7.95419043e-01 -3.08152009e-01 -1.72800313e+00 -8.12255452e-01 -1.36822163e+00 -3.60391518e-01 1.46097377e+00 8.15582312e-02
1.71209785e+00 -3.79403822e+00 -1.48466142e+00 1.70531332e+00 3.08260127e+00 -2.96497802e+00 -2.60057702e+00 4.35760387e+00 -7.84538584e-01 1.61070459e+00
-2.42519873e+00 6.11274131e-01 -1.75937745e-01 3.75143539e+00 1.41774964e+00 -2.73742042e+00 2.54562873e+00 -1.68445811e+00 -2.20339563e+00 -2.08604653e+00
1.99844855e+00 2.37054884e-01 -2.19055714e+00 4.32361058e+00 -1.13654189e+00 1.42312430e+00 3.69575802e+00 -4.25116611e+00 -3.02859469e+00 1.08983908e-01
-1.53112727e+00 2.75829102e+00 -1.70853388e+00 -9.66260402e-01 5.48868712e-01 8.60053746e-01 -1.41903236e+00 4.42637707e-01 -1.59532045e+00 2.56344675e+00
-9.45804180e-01 2.58235213e+00 9.33421433e-01 1.01850025e-01 2.96803777e-01 2.70654035e+00 -7.22492064e-01 -3.86348829e-03 -8.64995156e-01 2.28400656e-01
5.43166747e-02 -9.02976297e-02 9.79126965e-01 -1.08607204e+00 -1.32434498e+00 -1.28128434e+00 -5.11795393e-01 -1.72304591e-01 3.34782143e-01 1.49512739e+00
1.55776015e+00 6.28775147e-01 2.25984315e+00 4.89729358e-01 5.82903551e-01 1.07613694e+00 1.32695925e-01 1.39919259e+00 2.98078554e+00 -7.33762202e-01
